BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460337.965501,1.05714,0.02421,1.5261,2.29,0.59,15.52,6457
2460337.966599,0.99022,0.02506,1.5166,-1.26,-0.36,14.37,6845
2460337.967703,1.01704,0.02883,1.5073,2.00,-0.81,26.85,4935
2460337.968808,0.97907,0.03080,1.4981,-0.22,0.59,27.91,4507
2460337.969920,1.00862,0.02890,1.4890,1.18,-0.64,21.58,5474
2460337.971023,0.95420,0.02993,1.4802,1.60,-1.31,23.99,5179
2460337.972120,1.03860,0.02794,1.4716,-0.65,0.47,14.81,6654
2460337.973222,1.03477,0.03006,1.4631,1.73,-1.14,17.65,5607
2460337.974340,1.04566,0.02912,1.4547,-1.03,0.28,23.32,6150
2460337.975487,1.02496,0.02736,1.4462,0.25,0.12,16.93,7181
2460337.976590,1.01691,0.02962,1.4382,1.29,-1.73,18.29,6035
2460337.977708,1.01877,0.02891,1.4302,-1.04,0.57,14.80,7585
2460337.978826,1.03675,0.02930,1.4224,1.19,-2.27,19.39,7121
2460337.979928,1.02005,0.02938,1.4149,0.08,1.07,18.84,7122
2460337.981030,1.07553,0.02920,1.4075,-0.21,-0.32,19.19,7142
2460337.982132,1.06981,0.02949,1.4002,0.76,-0.57,23.24,7181
2460337.983233,1.06065,0.02863,1.3931,-0.03,1.42,14.10,8279
2460337.984350,1.01418,0.02779,1.3860,1.36,-2.57,13.20,9580
2460337.985452,1.01672,0.02944,1.3792,-2.12,0.88,17.49,8084
2460337.986554,1.07682,0.03155,1.3724,2.27,-0.85,24.45,6555
2460337.987656,1.05625,0.03000,1.3658,-0.41,-0.24,19.93,7873
2460337.988758,0.98813,0.02921,1.3593,0.00,-0.04,14.62,8722
2460337.989859,1.07022,0.02809,1.3530,1.48,-1.08,12.54,10135
2460337.990968,1.01336,0.02848,1.3467,-1.59,1.69,13.06,9404
2460337.992076,1.02690,0.02755,1.3405,-0.02,-0.34,10.50,13237
2460337.993177,1.02554,0.02901,1.3345,0.50,-1.58,16.22,10410
2460337.994276,1.01946,0.02930,1.3287,-0.88,1.67,13.25,10206
2460337.995377,1.04674,0.03008,1.3229,1.88,-1.06,13.21,10527
2460337.996484,1.10973,0.03117,1.3172,-0.68,-0.11,17.32,8750
2460337.997584,0.98984,0.02945,1.3116,0.65,0.05,13.50,10709
2460337.998683,1.07571,0.03050,1.3061,0.61,-0.57,14.69,9795
2460337.999790,1.05767,0.03075,1.3008,-1.10,0.99,17.00,9376
2460338.000889,1.02053,0.02953,1.2955,0.83,-0.85,13.33,11610
2460338.001996,1.02303,0.03154,1.2904,-0.79,-0.28,17.65,8627
2460338.003095,1.04015,0.03275,1.2853,-0.14,0.80,22.55,8034
2460338.004202,1.04707,0.03067,1.2803,1.56,-0.75,13.83,10277
2460338.005301,1.00139,0.02954,1.2755,-1.21,1.56,12.63,11957
2460338.006400,1.00666,0.02996,1.2707,0.71,-0.11,13.77,11681
2460338.007507,1.05414,0.02958,1.2660,-0.17,-1.66,11.23,12318
2460338.008607,1.02970,0.03065,1.2614,-1.78,1.55,14.78,10563
2460338.009713,1.06323,0.03137,1.2570,1.21,-1.10,13.46,10452
2460338.010810,1.04856,0.03084,1.2526,0.50,-0.07,16.36,9757
2460338.011915,1.05127,0.03053,1.2482,-0.74,1.62,14.08,10447
2460338.013020,1.05448,0.02966,1.2439,0.86,0.50,13.23,11766
2460338.014124,1.02062,0.03151,1.2398,0.09,-0.73,21.07,9453
2460338.015222,1.02586,0.03156,1.2357,-0.72,1.42,17.34,9118
2460338.016326,1.00137,0.03191,1.2317,0.26,-0.55,15.39,10330
2460338.017430,1.00087,0.03014,1.2279,0.51,-0.23,17.48,11374
2460338.018526,1.00168,0.03139,1.2240,-1.09,1.12,16.01,10084
2460338.019630,0.97850,0.03105,1.2203,0.07,-0.41,12.85,11342
2460338.020733,0.94611,0.03220,1.2166,0.68,-0.24,16.08,9271
2460338.021829,0.97278,0.03171,1.2130,-1.17,1.03,14.01,10177
2460338.022933,1.04846,0.03081,1.2095,0.11,-0.05,14.22,11071
2460338.024036,0.92916,0.03131,1.2061,-0.03,0.35,17.60,9562
2460338.025146,0.96704,0.03079,1.2027,-0.95,1.58,12.11,11578
2460338.026249,1.00000,0.03266,1.1994,0.27,-0.28,16.99,8965
2460338.027358,0.94481,0.03139,1.1962,0.34,-0.13,13.47,10826
2460338.028454,0.96527,0.03109,1.1930,-1.29,1.32,16.20,10799
2460338.029557,0.98102,0.03058,1.1899,0.30,-0.09,12.50,11598
2460338.030659,0.94080,0.03143,1.1869,0.65,-0.81,15.01,10515
2460338.031760,0.95111,0.02944,1.1840,-1.18,1.70,11.54,12849
2460338.032861,0.99554,0.02957,1.1811,0.14,0.84,12.15,12414
2460338.033969,0.97116,0.02876,1.1783,0.28,-0.56,10.32,14578
2460338.035085,0.94597,0.02902,1.1755,-0.22,0.62,10.75,14221
2460338.036187,0.93984,0.02826,1.1728,-0.23,1.27,9.62,16188
2460338.037294,0.89129,0.02794,1.1702,0.56,-0.10,10.77,15837
2460338.038396,0.92001,0.02786,1.1677,0.25,-0.41,9.67,15972
2460338.039504,0.90691,0.02829,1.1652,-0.48,2.08,10.14,14797
2460338.040605,0.94277,0.02822,1.1628,-0.54,1.74,9.13,15964
2460338.041706,0.95162,0.02855,1.1604,0.20,-0.09,12.01,13680
2460338.042807,0.90802,0.02841,1.1581,0.42,-1.31,11.58,14229
2460338.043907,0.96505,0.02781,1.1559,-1.21,1.21,9.98,16958
2460338.045014,0.93684,0.02789,1.1537,0.10,1.26,10.94,15841
2460338.046121,0.95740,0.02797,1.1516,0.43,-0.73,10.81,16306
2460338.047227,0.91399,0.02792,1.1495,0.47,-1.18,9.53,16271
2460338.048327,0.96545,0.02976,1.1475,-1.16,1.35,13.51,12153
2460338.049434,0.91822,0.02873,1.1456,0.20,0.94,11.12,14882
2460338.050533,0.89054,0.02873,1.1437,-0.13,0.07,11.11,14704
2460338.051661,0.91300,0.03003,1.1419,0.30,-0.96,14.32,12203
2460338.052766,0.94917,0.02934,1.1401,0.00,0.12,11.39,12742
2460338.053864,0.98143,0.02844,1.1384,-1.15,1.51,11.15,15259
2460338.054970,0.96168,0.02910,1.1368,-0.35,-0.26,9.56,14679
2460338.056075,0.94246,0.02938,1.1352,0.57,-0.79,10.96,13496
2460338.057181,0.98948,0.02928,1.1337,-0.18,-0.50,10.59,14334
2460338.058286,1.00288,0.02954,1.1322,-0.15,0.36,10.94,14608
2460338.059398,0.96607,0.02975,1.1307,-1.36,1.55,13.07,12354
2460338.060495,0.93984,0.02925,1.1294,0.58,0.33,13.16,13497
2460338.061600,0.94630,0.03008,1.1281,-0.17,-0.56,13.04,12176
2460338.062698,0.99275,0.02999,1.1268,-0.26,-0.12,12.28,12233
2460338.063803,0.98286,0.02949,1.1256,-0.11,-0.37,13.10,13368
2460338.064900,0.98587,0.03134,1.1245,-0.29,0.36,14.59,10024
2460338.066018,1.05559,0.03533,1.1234,-1.14,1.65,21.29,8221
2460338.068224,0.95834,0.03450,1.1213,0.19,0.22,23.15,7845
2460338.069328,0.94613,0.04075,1.1204,0.86,-0.29,29.43,6181
2460338.070424,0.94901,0.03302,1.1195,-0.33,0.57,25.86,8731
2460338.071534,0.99497,0.04022,1.1187,-0.33,0.26,29.66,6333
2460338.075958,1.00515,0.04458,1.1159,-1.01,1.36,29.62,5826
2460338.077059,1.03495,0.03944,1.1153,-0.21,0.73,25.64,6219
2460338.078162,0.95115,0.03847,1.1148,0.69,0.39,28.67,6470
2460338.079270,1.01207,0.03906,1.1143,0.19,0.07,27.63,6647
