BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460337.965324,1.03222,0.00920,1.5276,1.08,0.56,12.71,7821
2460337.966078,1.00869,0.00883,1.5210,-0.71,0.78,11.99,9227
2460337.966844,0.99750,0.00929,1.5145,-2.06,-0.59,11.96,8842
2460337.967598,1.01130,0.01026,1.5080,0.67,0.69,15.97,6582
2460337.968363,0.99804,0.01043,1.5017,0.40,-1.88,17.16,6219
2460337.969129,1.00010,0.01080,1.4954,-2.04,2.59,16.29,6275
2460337.969895,1.00299,0.00992,1.4892,0.56,-1.49,11.81,8131
2460337.970649,0.99085,0.01017,1.4831,1.01,-1.85,13.64,7300
2460337.971414,1.00304,0.01181,1.4771,-1.82,0.77,22.93,5194
2460337.972168,1.00789,0.00943,1.4711,-1.35,0.91,11.07,10099
2460337.972934,1.00000,0.01002,1.4653,0.42,0.42,12.26,8518
2460337.973688,1.03028,0.01039,1.4595,0.32,-2.34,12.95,7787
2460337.974454,1.00017,0.00980,1.4538,-2.95,1.32,11.52,9218
2460337.975208,1.01211,0.00957,1.4481,0.00,2.11,12.50,9250
2460337.975974,1.00907,0.01025,1.4426,0.06,-3.48,12.99,8399
2460337.979071,1.00975,0.01018,1.4207,0.43,-2.73,11.16,9760
2460337.979825,1.00580,0.01008,1.4155,-1.16,2.09,11.90,9870
2460337.980591,1.00468,0.01023,1.4104,-1.69,0.92,11.54,9797
2460337.981345,1.00649,0.01014,1.4053,0.70,-1.68,11.44,9939
2460337.982111,1.01550,0.01011,1.4003,0.04,-0.84,13.95,8867
2460337.982865,1.00915,0.00996,1.3954,-2.21,0.73,11.98,11014
2460337.983630,1.02176,0.00967,1.3905,0.11,0.92,10.63,11970
2460337.984384,0.99236,0.00975,1.3857,0.77,-3.12,9.60,12305
2460337.985150,1.00858,0.01026,1.3810,-3.18,1.51,15.23,8417
2460337.985916,1.01392,0.00974,1.3762,-0.51,-0.41,9.58,12962
2460337.986670,0.99670,0.01108,1.3716,2.02,-0.57,15.62,7378
2460337.987435,1.00431,0.00988,1.3671,-0.44,-1.72,10.33,11830
2460337.988191,1.00128,0.01024,1.3626,-1.46,2.09,11.48,10296
2460337.989710,1.00627,0.00982,1.3538,1.54,-0.66,9.35,13118
2460337.990464,0.99511,0.00955,1.3495,-1.81,-0.85,8.59,15560
2460337.991230,1.01663,0.01000,1.3452,-1.70,2.72,11.94,11027
2460337.991984,1.00629,0.00959,1.3410,-0.75,0.04,8.27,16988
2460337.992750,1.01616,0.00987,1.3368,0.29,-1.61,9.05,15023
2460337.993504,1.01226,0.00992,1.3327,-1.47,-0.59,8.71,14977
2460337.994269,1.01430,0.01011,1.3286,-1.45,2.31,9.35,13430
2460337.995023,1.00184,0.01000,1.3247,0.11,-1.21,8.80,15090
2460337.995777,1.00645,0.01035,1.3207,1.16,-0.82,9.66,13013
2460337.996543,1.01718,0.01065,1.3168,-2.10,0.15,10.58,11518
2460337.997297,1.01019,0.01002,1.3130,0.09,0.62,9.21,14243
2460337.998063,1.01278,0.01017,1.3092,-0.09,-0.96,9.54,12907
2460337.998817,1.01468,0.01036,1.3054,0.06,-0.31,10.24,12481
2460337.999582,1.01617,0.01046,1.3017,-2.84,1.18,10.36,12151
2460338.000348,1.02413,0.01016,1.2981,0.04,-0.64,9.89,13572
2460338.001102,1.02505,0.01009,1.2945,0.42,-0.47,8.82,16020
2460338.001868,1.03306,0.01075,1.2909,-0.84,-0.55,12.33,10666
2460338.002622,1.00451,0.01094,1.2874,-2.10,2.49,13.72,9307
2460338.003387,1.02095,0.01053,1.2839,-0.74,-1.54,9.98,12453
2460338.004153,1.01667,0.01055,1.2805,1.77,-0.24,9.22,13581
2460338.004907,1.02508,0.01011,1.2772,-1.58,-1.00,9.05,15827
2460338.005673,1.02953,0.01055,1.2738,-1.05,2.88,9.28,13575
2460338.006439,1.02806,0.01016,1.2705,0.07,-0.37,8.94,15886
2460338.007205,1.01351,0.01018,1.2673,-0.21,-1.76,9.83,14239
2460338.007959,1.03224,0.01034,1.2641,0.12,-0.06,9.83,13478
2460338.008724,1.01228,0.01041,1.2609,-3.40,1.29,9.14,14623
